,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Iredell,207682,14,0.0189,14,0.2358,9,39622,9,42.2598,55,1.8808,22,0.1943,56,0.2338,23,0.1782,81,0.1444,84,0.0460,93,9551,21,119481,20,-0.1040,66,894,7,-0.1526,77,0.9190,8,0.8290,16,0.8656,16,0.8453,15,0.1210,10,5122,76,1198,6,0.9493,6,64437,7,1.1089,7,10581.8640,9,10429.2950,9,0.5132,70,0.3842,85,"2,314.4329",32,72.0205,13,0.1216,35,0.1264,34,0.0879,32,4068,83,0.5446,18,25198,36127,0.1280,13,0.1020,11,0.2399,16,48650,82,0.0600,11,7385,82,0.1170,12,0.1260,29,146,51,265,83,26,18,48,75,0.5000,21,0.5000,21,1007.1851,22,204.2420,10,201437.0291,17,40848.4079,9,0.0307,74,1098.6502,3,0.0675,574.4000,0.340804204297039,0.659195795702961,0.318382093761015,0.681617906238985,0.376976789114895,0.623023210885105,0.345950248756219,0.654049751243781,0.311166465378422,0.688833534621578,0.335863941802613,0.664136058197387,0.33539346357495,0.66460653642505
Jackson,43308,59,0.0039,59,0.0611,43,2495,43,38.8638,81,2.1961,15,0.1583,91,0.1756,92,0.2182,46,0.1791,46,0.0653,38,2828,60,22208,88,0.4119,2,236,72,0.0977,7,0.7590,84,0.7140,68,0.7656,57,0.7647,48,0.1860,36,1263,32,896,53,0.7100,53,44870,75,0.7722,75,1629.0920,55,1629.3020,55,0.3769,86,0.2366,99,"2,549.4350",24,9.4176,61,0.0533,4,0.0892,13,0.1486,86,1341,44,0.4307,48,3886,8264,0.1700,80,0.1410,75,0.2615,24,11307,37,0.0886,50,2294,44,0.1800,94,0.2020,97,102,31,45,34,52,74,23,49,0.3800,7,0.3800,7,1078.7169,17,46.6426,45,283872.8697,5,12274.3790,33,0.0283,78,325.3357,42,0.0700,491.1000,0.47846809933941,0.52153190066059,0.47820840431573,0.52179159568427,0.527436823104693,0.472563176895307,0.495137317267111,0.504862682732889,0.438662344309845,0.561337655690155,0.457869862032749,0.542130137967251,0.452418531241296,0.547581468758704
Johnston,249714,9,0.0227,9,0.3755,3,68170,3,39.5474,77,1.6936,29,0.2201,20,0.2638,5,0.1468,94,0.1200,90,0.0523,79,13058,13,174111,6,-0.0500,53,964,4,-0.0931,55,0.8340,43,0.7780,40,0.8491,19,0.8350,17,0.1360,13,7690,90,1007,22,0.7979,22,49672,41,0.8548,41,7726.3940,17,7501.7010,17,0.3227,93,0.2965,97,"2,210.7162",38,88.4972,11,0.1385,49,0.1294,39,0.0921,40,5290,92,0.5184,21,29790,40244,0.1270,12,0.1050,15,0.2761,30,66475,92,0.0581,9,8712,87,0.1290,41,0.1260,29,115,40,240,79,33,28,69,83,0.6700,63,0.6900,61,787.3062,53,189.5802,14,114102.3477,61,27475.3889,14,0.0427,61,936.6827,8,0.0675,792.0000,0.334930100694105,0.665069899305895,0.318743192600934,0.681256807399066,0.380518908786231,0.619481091213769,0.360421041509833,0.639578958490167,0.342809485822032,0.657190514177968,0.376398138855944,0.623601861144056,0.391206075093094,0.608793924906906
Jones,9098,97,0.0008,97,-0.0824,73,-817,73,42.3871,53,-1.5084,96,0.1932,59,0.2040,67,0.2435,27,0.1939,27,0.0935,10,851,93,66287,53,0.0097,35,126,86,-0.2881,94,0.7400,92,0.5890,94,0.7240,74,0.6737,85,0.2740,77,453,7,888,54,0.7036,54,48585,49,0.8361,49,219.9350,95,224.4380,95,1.2400,8,1.1639,5,"1,730.4162",61,1.7045,88,0.2002,93,0.1672,73,0.1261,66,239,8,0.3692,74,700,1051,0.1600,57,0.1490,87,0.3727,76,3390,7,0.0953,66,484,5,0.1680,88,0.1700,89,276,94,26,25,64,89,6,14,0.7400,77,0.7400,71,943.2712,32,8.5800,97,127469.0783,56,1159.4587,96,0.2092,2,229.5765,62,0.0700,471.4000,0.462906504065041,0.537093495934959,0.420666666666667,0.579333333333333,0.457747834456208,0.542252165543792,0.45326652534207,0.54673347465793,0.409803532446914,0.590196467553086,0.401132006572941,0.598867993427059,0.370568685376662,0.629431314623338
Lee,67613,41,0.0062,41,0.1366,29,8126,29,39.2581,80,1.3440,39,0.2250,14,0.2503,10,0.1859,78,0.1529,75,0.0660,36,4461,40,31204,83,-0.1128,69,264,63,0.0560,11,0.7490,89,0.7390,56,0.7990,40,0.7878,38,0.2380,66,3574,68,1003,23,0.7948,23,49622,42,0.8539,42,2815.9230,34,2784.4430,34,0.7116,41,0.6927,45,"1,952.2955",50,20.1340,35,0.1191,34,0.0976,16,0.1398,75,2281,67,0.4308,47,7029,10102,0.1630,66,0.1310,50,0.3161,52,21060,54,0.0829,38,3130,54,0.1600,83,0.1560,83,236,86,146,66,62,87,38,69,0.6500,58,0.6500,48,926.2017,35,61.7174,34,142492.5655,41,9494.9921,40,0.0529,49,377.5405,35,0.0700,255.1000,0.419059971589154,0.580940028410846,0.392847981119491,0.607152018880509,0.457744386434059,0.542255613565941,0.450811803497642,0.549188196502358,0.43294321988338,0.56705678011662,0.424402348664896,0.575597651335104,0.41181812066994,0.58818187933006
Lenoir,53509,50,0.0049,50,-0.0727,94,-4197,94,41.8804,60,-0.1746,81,0.2154,24,0.2288,28,0.2234,41,0.1793,45,0.0787,21,4213,43,136277,15,0.1985,11,352,52,-0.0881,52,0.7810,76,0.7530,49,0.7221,76,0.7266,68,0.3170,92,3829,72,929,34,0.7361,34,51039,33,0.8783,33,2866.7130,33,2793.6290,33,0.3995,84,0.3767,87,"1,197.8221",86,9.9000,58,0.2002,92,0.1693,74,0.1523,89,1825,58,0.3501,84,4194,5994,0.1810,94,0.1610,96,0.4575,90,24618,66,0.1196,88,3568,61,0.1400,65,0.1350,48,154,54,86,54,39,43,22,47,0.8450,93,0.8450,93,730.7235,69,39.3202,55,86476.1587,92,4653.2821,63,0.0917,26,285.1165,49,0.0675,399.1000,0.452825704643757,0.547174295356243,0.440983323252398,0.559016676747602,0.499570559020128,0.500429440979872,0.49942709825265,0.50057290174735,0.48135024955233,0.51864975044767,0.482532363894308,0.517467636105692,0.465815727699531,0.534184272300469
Lincoln,98348,30,0.0090,30,0.2413,18,19118,18,44.8229,28,2.4136,11,0.1883,64,0.2169,47,0.1968,63,0.1574,71,0.0543,75,5337,33,49038,71,-0.0932,62,552,31,-0.1010,57,0.8920,16,0.8260,18,0.8282,26,0.8191,23,0.1130,7,2107,49,1018,19,0.8067,19,58227,17,1.0020,17,3167.2780,32,3067.9160,32,0.7810,34,0.7270,39,"1,920.1057",51,26.8162,28,0.1529,59,0.1612,68,0.0929,43,1865,59,0.4875,27,9783,14161,0.1360,18,0.1120,19,0.2358,14,22498,59,0.0659,19,3702,63,0.1220,21,0.1250,26,223,84,192,74,38,42,33,62,0.4990,20,0.4990,20,992.9107,25,94.7227,24,198980.1081,18,18982.5033,22,0.0300,75,492.6652,22,0.0700,295.8000,0.345277675163157,0.654722324836843,0.319948450111918,0.680051549888082,0.331399954730647,0.668600045269353,0.303766774131327,0.696233225868673,0.255716611115417,0.744283388884583,0.267540058450066,0.732459941549934,0.26973194002726,0.73026805997274
Macon,38539,64,0.0035,64,0.1145,39,3958,39,49.6450,8,0.8671,56,0.1713,79,0.1877,83,0.3061,7,0.2669,6,0.0737,26,2842,59,21973,89,0.1112,19,346,53,0.0176,19,0.7920,69,0.7500,51,0.7538,67,0.7746,43,0.1860,36,1242,29,879,62,0.6965,62,48309,53,0.8314,53,1555.2570,59,1557.2240,59,0.5926,60,0.6378,54,null,null,null,null,0.0532,3,0.0747,10,0.1158,56,843,38,0.4193,53,3053,4991,0.1670,74,0.1440,82,0.2848,34,10846,36,0.0886,51,1720,33,0.1650,87,0.1590,84,67,8,24,23,53,76,19,38,0.2700,1,0.2700,1,917.9839,39,34.9577,61,339994.0289,3,12947.3126,32,0.0230,80,283.3326,51,0.0675,515.6000,0.357781343112537,0.642218656887463,0.36747673562295,0.63252326437705,0.390860246796953,0.609139753203047,0.345198525412461,0.654801474587539,0.286772922425454,0.713227077574546,0.304779609608141,0.695220390391859,0.308228666420392,0.691771333579608
Madison,21453,77,0.0020,77,0.0150,56,317,56,46.3041,19,1.7070,28,0.1671,85,0.1860,85,0.2542,22,0.2031,25,0.0625,47,1341,79,42763,74,-0.2466,90,535,32,-0.1628,79,0.7900,73,0.7260,62,0.7654,58,0.7401,58,0.2120,49,759,18,821,91,0.6506,91,44497,79,0.7658,79,1616.1030,57,1568.8120,58,0.5476,63,0.5161,68,"1,447.5859",71,3.0761,78,0.1279,47,0.1371,51,0.0799,24,396,16,0.5181,22,2568,3885,0.1580,55,0.1330,58,0.3120,48,6653,19,0.0987,68,1208,24,0.1180,16,0.1260,29,41,3,9,5,60,85,13,29,0.3600,6,0.5000,21,686.9853,76,14.6500,83,137397.0560,48,2929.9922,76,0.0995,23,272.8990,55,0.0700,449.6000,0.428431732062095,0.571568267937905,0.449994685938995,0.550005314061005,0.491877079663339,0.508122920336661,0.453478964401294,0.546521035598706,0.366607526379681,0.633392473620319,0.380512422360248,0.619487577639752,0.380845491956603,0.619154508043397
Martin,20952,78,0.0019,78,-0.1010,85,-2355,85,47.0761,15,1.2892,40,0.1990,47,0.2106,57,0.2707,16,0.2045,24,0.0700,32,1467,75,143806,13,0.0200,32,286,61,-0.1386,75,0.7840,75,0.6830,80,0.7389,73,0.7217,71,0.2930,86,1250,30,726,99,0.5753,99,42553,89,0.7323,89,427.7360,85,417.3630,86,0.8073,31,0.5906,61,"2,104.0027",41,6.1500,69,0.1857,89,0.1668,72,0.1269,68,598,28,0.4274,49,2014,3256,0.1700,80,0.1390,72,0.4031,81,8521,29,0.1141,84,1273,26,0.1350,52,0.1230,22,472,99,106,57,49,67,11,26,0.8100,88,0.8100,84,824.3365,47,17.4256,79,101769.9408,74,2151.3148,84,0.1801,7,269.2277,57,0.0700,456.4000,0.52722216279816,0.47277783720184,0.488884630126485,0.511115369873515,0.523287451984635,0.476712548015365,0.523374145333121,0.476625854666879,0.497828493570638,0.502171506429362,0.475046210720887,0.524953789279113,0.448123066633225,0.551876933366775
McDowell,44601,57,0.0041,57,0.0014,58,63,58,44.5667,30,1.7628,26,0.1859,67,0.2090,64,0.2257,39,0.1854,33,0.0659,37,2939,54,17041,91,-0.2590,91,298,57,-0.1051,58,0.7970,62,0.7330,58,0.7569,63,0.7392,62,0.2220,57,1879,44,864,69,0.6846,69,43983,85,0.7569,85,630.3820,79,653.3090,78,0.8519,27,0.9660,16,"1,772.5931",56,9.6110,59,0.1820,80,0.1814,85,0.1244,65,1346,46,0.4079,57,4414,5871,0.1680,78,0.1370,66,0.3500,68,15546,44,0.1071,78,2760,49,0.1450,71,0.1320,42,129,45,59,39,46,60,21,45,0.5675,35,0.5675,31,817.9744,48,36.3352,58,144136.4517,40,6402.6853,52,0.0316,73,149.7966,84,0.0675,440.0000,0.342595265588915,0.657404734411085,0.334798994974874,0.665201005025126,0.362938414802541,0.637061585197459,0.338706054139054,0.661293945860946,0.242630621263322,0.757369378736678,0.256746643187321,0.743253356812679,0.25227263027613,0.74772736972387
